source,file name,QRP_description,qrp_coded,description,model_phase,model_subphase,include,practice_target,QRP_reason,practice_description,practice_evidence,practice_notes,practice_reason,practice_solution
[[@Nagy2025]],Nagy-2025-Discretizing-continuous-variables,Discretising continuous variables after observing model checking / model performance results.,S-hacking,Sample Curation,"Model Construction, Model Evaluation, Model Application",Data Processing,TRUE,input,Overrates model performance.,"""Taking a continuous variable and making it categorical without proper justification and transparent reporting. (1) Researcher doesn’t find an association between depression and continuous age variables, and recodes age into young and old categories. After that, age groups show a significant association with depression. An independent samples t-test is reported instead of a correlation.""",,,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Reduced replicability, Compromised generalizability.""",
[[@Nakagawa2017]],Nakagawa-2017-data-dredging,Dredging fitted models for statistical significance or other outcome variable.,S-hacking,S-hacking,"Model Construction, Model Evaluation","Model Selection, Model Performance Metric",TRUE,"model, output",Spuriously selected model.,"""This means that, as a reader, you may want to check for the inclusion of too many [[predictors]] / [[moderators]] in a single model, or ‘[[over-fitting]]’ (the rule of thumb is that the authors may need at least ten effect sizes per estimated moderator) \[64\], and for ‘fishing expeditions’ (also known as ‘[[data dredging]]’ or ‘[[p hacking]]’; that is, non-hypothesis-based exploration for statistical significance \[28, 65, 66\])"" p.7",,"Similar to Model Dredging, but model space is constrained by some performance metric or other outcome variable.",,
[[@MacNally2000]],MacNally2000-dredging,"Dredging for models in unconstrained model space, where model space is not informed by theory or consists of models that are biologically implausible.",Model Fishing,Model Dredging,Model Construction,"Model Specification, Model Selection",TRUE,model,'Best' or 'final' models are only spuriously selected. ,"“Statistical tinkering, which really what the entire domain of model selection is about, can never be a substitute for intelligent prior selection of independent variables that may influence the dependent variable (e.g. Flack and Chang 1987. Ecologists and conservation biologists too often measure almost everything they can (especially in these days of automated probes and data loggers, remote sensing and GIS) and hope that something important will by ‘fished out’ of the resultant murky data. The variable-selection process will be substantially improved – and, therefore, the inferences too – if that process involves building upon existing knowledge and theory. In a sense, ‘forcing’ variables to be included in MR settings (e.g. Panzer and Schwartz 1998) is consistent with this philosophy because workers adjudge, ab initio, that these variables are crucial to the understanding of the system. Thus, all of the methods described in this paper are adjuncts rather than definitive expressions of the reasons for variation in the critical dependent variables and should be couched in these terms.”",,"Unfortunately, pseudoreplication stemming from inappropriate error terms in mixed models is very common in ecology and evolution [3–9]. For example, an inspection of all papers utilizing ‘experimental evolution’ and published in the Journal of Evolutionary Biology during 2015–2019 (N = 40) revealed 11 cases of appropriate modeling, eight cases where the analyses were at least partly inappropriate, and 21 cases where inferential models and methods were not given in sufficient detail to assess whether the analyses were appropriate (many of which were likely inappropriate).",,
[[@Shmueli2010]],shmuelli-model-selection-on-F-statistic,"Dredging for models in unconstrained model space, where model space is not informed by theory or consists of models that are biologically implausible.",Model Fishing,Model Dredging,Model Construction,Model Selection,TRUE,model,,"""Stepwise-type methods, which use overall F statistics to include and/or exclude variables, might appear suitable for achieving high explanatory power. However, optimizing explanatory power in this fash- ion conceptually contradicts the validation step, where variable inclusion/exclusion and the structure of the statistical model are carefully designed to represent the theoretical model. Hence, proper explanatory model selection is performed in a constrained manner. In the words of Jaccard (2001): Trimming potentially theoretically mean- ingful variables is not advisable unless one is quite certain that the coefficient for the variable is near zero, that the variable is in- consequential, and that trimming will not introduce misspecification error.""",,,,
[[@Risbey2005]],Risbey-SelectiveDebugging,Error checking only when unexpected or anomalous results are produced.,Selective Debugging,Selective Debugging,"Model Construction, Model Evaluation, Model Application",Model Verification,FALSE,"input, model, output",,"""When model code reaches a critical size (exceeded by all but the simplest models), error checking tends to occur only (or mostly) when results depart from expectations, and thus has more of the character of systematic bias than systematic checking.""",,,"""If the model is scrutinized mostly in those situations when strange results occur, then strange results will tend to be corrected (when a model error is found) so that the model reconfirms expectations. On the flip side, when model results confirm expectations, error checking tends to be only cursory and the model will go uncorrected, even if wrong. Thus, there is a bias towards confirmation of expectations.""",
[[@Bodner2020]],Bodner-2020-failing-to-define-prediction-properties,Failing to define model prediction properties.,Poor Practice,Poor Practice: pre-QRP,Model Evaluation,Model Performance Metric,FALSE,output,"Aids in choosing most appropriate model type. Increases transparency, and therefore improves accuracy and reliability.","Inverse of ""Establishing expected prediction properties refers to establishing a priori the characteristics and expected accuracy and/or precision levels of predictions (Refsgaard et al. 2007). For example, we may specify if predictions will be qualitative or quantitative, and if quantitative, whether predictions will be regarded as first approximations or precise values. We may also state whether they will be deterministic or probabilistic and what level of accuracy is acceptable given the model purpose. Additionally, if the predictions are probabilistic, we may state the amount of uncertainty expected given our purpose and knowledge about the model, data, and system.""",,"This is the next step on from the problem formulation phase. It's the failure to precisely operationalise the model evaluation procedure based on the problem articulated during the problem formulation phase, perhaps because the problem was imprecisely formulated. It can provide the opportunity for QRPs.",,
[[@Bodner2020]]],Bodner-2020-failing-to-define-model-purpose,"Failing to define or inadequately defining model purpose, framing and or scope.",Poor Practice,Poor Practice: pre-QRP,Model Construction,,FALSE,"model, output, input","Stating the model purpose, scope and framing clearly helps to clarify expectations about what a model can do, and how we should use it, therefore avoiding, controversy, mis-application, and misinterpretation. Unclear model purposes / inappropriate scope can introduce context uncertainty into the model.","""The first step to building an appropriate predictive model is to establish the context and the frame of the question. \[...\] Explicitly defining the purpose refers to specifying the intentions of a predictive model, which could be, for example, to inform policy management (Taylor and Hastings 2004, Lowe et al. 2014) or to test a theory (e.g., Bailly et al. 2014, Borregaard et al. 2017 ) in either a general or specific system.""",,,,
[[@Bodner2020]],Auspurg-2021-vague-parameter-definition,Failure to clearly define research question or give precise definition of parameter of interest.,Poor Practice,Poor Practice: pre-QRP,Model Construction,"Model Purpose, Outcome Variable",FALSE,"model, output",,Inverse of: '*clearly defined research question and give a precise definition of the parameter of interest.*',,,,
[[@Bennett2013]],Bennett-2013-swapping-out-multiple-weights,Failure to establish relative weighting of performance measures prior to beginning modelling.,Poor Practice,Poor Practice: pre-QRP,Model Evaluation,Performance Measure Weighting,FALSE,output,,"""There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",,,,
[[@Bodner2020]],Bodner-2020-a-priori-performance-metrics,"Failure to explicitly state the model purpose, and / or failure to establish a priori performance metrics and measures after establishing the model purpose before beginning modelling.",Poor Practice,Poor Practice: pre-QRP,"Model Evaluation, Problem Formulation","Model Performance Metric, Model Purpose",FALSE,"output, model",,"Once the purpose has been specified, we should establish performance metrics for this purpose -- i.e. what properties or characteristics of prediction do we wish to achieve with the model? This should be set *a priori* (examples given): ""Establishing expected prediction properties refers to establishing a priori the characteristics and expected accuracy and/or precision levels of predictions (Refsgaard et al. 2007). For example, we may specify if predictions will be qualitative or quantitative, and if quantitative, whether predictions will be regarded as first approximations or precise values. We may also state whether they will be deterministic or probabilistic and what level of accuracy is acceptable given the model purpose. Additionally, if the predictions are probabilistic, we may state the amount of uncertainty expected given our purpose and knowledge about the model, data, and system.""",,,"""a clear purpose helps avoid unnecessary controversies that may just stem from misunderstandings regarding what a model is and is not supposed to do (Grimm et al. 2010). \[...\] Defining the explicit model purpose prevents misinterpretation of the model’s goals and limitations (Grimm et al. 2010)  and can lead to more informed model choices \[...\]  A priori establishment of expected prediction properties establishes a baseline for model evaluations, thus increasing transparency, and allows for mismatches between desired and observed properties to be addressed, thus improving accuracy and reliability.""",
[[@Fourcade2018]],Fourcade-2018-not-using-biologically-informed-predictors,Failure to use biologically informed / justified predictor variables.,Poor Practice,Poor Practice,Model Construction,Model Specification,FALSE,"model, input",,,,See also [[QRP_modelling_database/Auspurg-2021-improper-model-specification]],,"""We recommend that researchers carefully select variables according to the species’ ecology and evaluate models only according to their capacity to be transfered \[sic\] in distant areas."""
[[@Auspurg2021]],Auspurg-2021-improper-model-specification,Failure to use theory in guiding model specification / using default controls in regression model that are uninformed by theory.,Poor Practice,Poor Practice: pre-QRP,Model Construction,"Model Specification, Model Tuning",FALSE,model,,Inverse of '*theory-guided causal reasoning to justify an appropriate model specification for identifying the parameter of interest. It is insufficient to simply throw the “usual suspects” as controls in a regression model.*',"""Unfortunately, this is common practice \['throwing the ""usual suspects"" as controls in regression model'\]""",,"""*non-rigorous social research that does not start with a clear research question provides divergent results. However, rigorous social science research is able to provide a more consistent answer.*"" See also: [@Bodner2020]: ""model structure uncertainty may arise from unwittingly excluding variables of influence, utilizing surrogate variables, and/or approximating functional forms [@AscoughII:2008br].""",
[[@Pu2018]],Pu2018-persistence-of-impressions,"Focusing only on data / models that seemingly supports expectation or hypotheses, and disregarding evidence that does not corroborate hypotheses or expectation (even if present).",Model Fishing,,Model Construction,,,"model, input",Spuriously selected model that is overfit to the data and may poorly generalise.,"""Analysts may also be subject to problems of persistence of impressions based on discredited evidence if during some portion of exploratory analysis they come up with an interest—but incorrect—model or hypothesis, they may be slow to abandon it in the face of additional evidence later in exploration. Or worse, they may resist abandoning a model that was discovered during exploratory analysis but refuted during confirmatory analysis.""",,,,
[[@paulengelschalt2023]],Engelscheldt-2022-oversensitivity-to-consistency-bias,"Focusing only on data that seemingly supports expectation or hypotheses, and disregarding data that does not corroborate hypotheses or expectation (even if present).",Data Curation,,Model Construction,,,"model, input",Spuriously selected model that is overfit to the data and may poorly generalise.,"""As one way to explain why analysts might be susceptible to the forking paths problem in visual analytics, we look to Wall et al.’s \[30\] metrics for measuring cognitive biases in visual analytics. These biases provide one reason that might cause analysts to be susceptible to the forking paths problem. For instance, the oversensitivity to consistency bias manifests as an analyst focusing only on data that seem to support their all-encompassing hypothesis and ignoring data that does not corroborate their hypothesis (even if present). With such biased exploration, the analyst is likely to overfit to their sliced data and generate exploratory conclusions that are unlikely to generalize.""",,,"From this perspective, an analyst engaged in data exploration is building an explanation of the data (possibly hypotheses, or more generally some kind of mental model of the data), and cognitive biases may lead them to explore only subsets of the data, leading to biased inferences. In the end, the analyst considers only their final mental model of the data and the path that got them there, not other possible paths or models they might have considered along the way. \[...\] With such biased exploration, the analyst is likely to overfit to their sliced data and generate exploratory conclusions that are unlikely to generalize.",
[[@Pu2018]],Pu2018-vividness-criterion-bias,"Focusing only on data that seemingly supports expectation or hypotheses, and disregarding data that does not corroborate hypotheses or expectation (even if present).",Data Curation,Overfitting,Model Construction,Conceptual Model Specification,,"model, input",Spuriously selected model that is overfit to the data and may poorly generalise.,"""Many of these biases dovetail with the forking paths problem: the vividness criterion, for example, might lead an analyst to pay undue attention to certain data, building a mental model that overfits to the particulars of a sample but generalizes poorly.""",,,"""building a mental model that overfits to the particulars of a sample but generalizes poorly""",
[[@McDermott2021]],McDermott-2021-optimising-method,"For studies developing new methods or approaches, optimising method / approach to improve the performance against baseline methods.",Poor Practice,Overhyping,Model Construction,Method Selection / Model Selection,FALSE,model,,"""Issues with statistical reproducibility may also arise due to an effect whereby researchers routinely spend more effort optimizing their method than is spent on the baseline methods against which their method is compared (**11**).""",,,,
[[@Fourcade2018]],Fourcade-2018-improper-use-of-evaluation-measures,Improper use of model evaluation metrics (e.g. using an evaluation metric ill-suited to the stated model purpose).,Poor Practice,Poor Practice,Model Evaluation,Model Performance Metric,FALSE,output,"Improper use of evaluation measures, such as AUC, may overrate the performance of SDMs with biologically meaningless predictors.","""Post-hoc evaluation of distribution models is commonly performed to assess their predictive performance and statistical significance  (Peterson et al., 2011). The most common diagnostic metrics in the area  of SDMs is the area under the receiver operating curve (ROC) (AUC;  Porfirio et al., 2014), obtained by plotting the model sensitivity against  its false positive rate at all possible thresholds (Hanley & McNeil, 1982)."" \[...\] ""it has been widely adopted by the SDM  community to measure the performance of models in discriminating  between presences and absences of species (Lobo, Jimenez-Valverde, &  Real, 2008). AUC has been adapted to presence-only (or presencebackground) modelling approaches by comparing the predicted suitability at presence points versus background points taken from the training  area. In this context, the implementation of AUC in a SDM framework  is usually carried out by partitioning species occurrences into two sets:  a training dataset, which is used to compute the model, and a test dataset that is used thereafter to evaluate the model’s discrimination ability  (Fielding & Bell, 1997). This process can be repeated several times, each  partition being used alternately to train and to test the model. This  approach assumes that training and testing data are spatially independent, an assumption rarely fully met in practice, especially when occurrences are randomly partitioned (Veloz, 2009)."" \[...\]. ""We have demonstrated that SDMs computed using meaningless variables as input environmental predictors are often classified as good or even excellent according to the most widely used evaluation measures.""","""The flaws of AUC that our results suggest have been known for a while (Lobo et al., 2008). Yet, it is still used in more than 80% of distribution modelling papers published in recent years in leading biogeography journals. More than half of SDM studies even relied on this single measure alone to assess the performance of their models."" \[...\] ""As it appears that standard evaluation metrics can hardly discriminate biologically relevant SDMs from meaningless models"" \[...\] ""our results showed that, as for AUC, c. 30% of models based on pseudopredictors were better evaluated (lower AICc) than those based on real environment variables."" \[...\] ""We showed, in line with other authors (Jimenez-Valverde, 2012; Lobo et al., 2008), that two widely used evaluation metrics overrate the performance of biologically meaningless SDMs.""",,"""We showed, in line with other authors (Jimenez-Valverde, 2012; Lobo et al., 2008), that two widely used evaluation metrics overrate the performance of biologically meaningless SDMs."" \[...\]""We have demonstrated that SDMs computed using meaningless variables as input environmental predictors are often classified as good or even excellent according to the most widely used evaluation measures."" \[...\] ""Moreover, AUC has  been recognized as a highly questionable measure for several years  (Lobo et al., 2008), especially when used with background data instead  of true absences (Jimenez-Valverde, 2012). Many alternative metrics  have been proposed to evaluate SDMs (see for example Allouche,  Tsoar, & Kadmon, 2006; Hijmans, 2012; Phillips & Elith, 2010). However, despite these criticisms, so far none of these alternatives seems to  have taken over from AUC in most SDM studies.""","""inferences based on  SDMs could be improved by using an effective method of model evaluation."""
[[@Josefsson2020]],Joseffson-2020-false-causal-claim,Misreporting correlative claims using causal language.,Overhyping,Overhyping,Model Application,Inference,TRUE,output,"For researchers, the problem (and solution) to misusing causal language to report correlational findings from observational studies is likely institutional. In addition, there may be unique extrinsic constraints on researchers working at the [[practitioner-research-policy nexus]], where by policy makers are funding the research, and expect clear messages about the research findings such that researchers do not report on study design limitations [[study limitation reporting]]. Another possible explanation is that applied journals pressure authors into providing clear directives to practitioners and policy-makers, However, given that this problem occurs in other disciplines, I would say that this is a science-wide problem not unique to discipline, but caused by some other facet of the science-publication pipeline.","Data derived from observational studies may be biased due to selection bias, and because the driver of observed effects can't be properly identified because of confounding - thus causal inference is not possible with observational studies. Because observations are merely correlative, and the true driver of an effect can be hidden when attempting to make causal inferences from observational studies. This results in false confidence, and possibly false negatives, in drivers of observed patterns. ""observational study designs are generally restricted in terms of their capacity for causal inference (Underwood, 1997). The main problem of implying causation from correlative observations is that it may divert attention from the real reasons for any observed effect, promoting false confidence in the drivers of the observed pattern."" p.2","""Most intervention evaluations used observational study-designs observational studies, and of those studies, the majority used causal language (inappropriately), with few acknowledging base-line bias at all. Many studies used hedged causal statements to soften causal wording. \[...\] despite the correlative nature of the data in the Obs-CI studies, definitive (i.e., without hedging) causal word ing was common (66%). Hedged causal statements, using words such as “may,” “appears to,” and “indicates” to soften causal terminology, was used in another 16% of the studies (Figure 2a; Table S4 in the Supporting Information)."" p.5",,"""It has been suggested that competition among researchers and journals for high impact publications may foster a culture to neglect inherent and fundamental flaws related to study design, or to falsely make causal claims, in order to increase the seeming significance of research findings (Cofield, Corona, & Allison, 2010; Lipton & Ødegaard, 2005; Puhan et al., 2012; Robinson et al., 2007). \[...\] A culture to let study design limitations go by unremarked may also be fostered at the interface between applied sciences and policy when policymakers provide funding and expect clear answers to research questions. \[...\] Similarly, editors of applied journals may suggest authors to provide clear directives to practitioners (Robinson et al., 2007; but see Cofield et al., 2010, who found no link between funding source and causal language).""",
[[@Nagy2025]],Nagy-2025-missing-data-hacking,Missing data hacking: changing the strategy to handle missing data after fitting the model and observing model checking / model performance evaluation results.,Data Curation,Sample Curation,"Model Construction, Model Evaluation",Data Processing,TRUE,input,Overrates model performance and may result in spuriously selected model.,"""Choosing the strategy to handle missing data based on the impact on the results. (1) A researcher tries three ways of handling missing data, for example, listwise deletion, multiple imputation, and inverse probability weighting. The expected results only appear with inverse probability weighting. The researcher reports only this strategy in the paper and leaves out results with listwise deletion and multiple imputation. (2) Can also be within a single method, specifically multiple imputation, since it uses one or more variables to replace missing data, and the choice of these variables is up to the researcher, but can also be statistically based.""",,,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Reduced reproducibility, Reduced replicability""",
